Box RFID,Part Type,Number of Parts in Box
1,1,37
1,1,37
1,3,45
1,3,45
1,3,45
1,3,45
2,1,47
2,3,32
2,3,32
2,1,47
2,1,47
2,1,47
3,3,33
2,1,47
2,2,41
3,2,48
3,1,39
3,1,39
3,2,48
3,2,48
4,3,33
5,3,40
4,1,50
4,1,50
4,1,50
4,1,50
6,3,39
6,3,39
6,3,39
6,3,39
6,2,35
6,2,35
7,3,46
7,3,46
7,1,36
7,2,38
8,3,40
7,1,36
7,1,36
8,3,40
7,1,36
7,1,36
8,3,40
8,3,40
8,1,36
8,1,36
8,1,36
8,2,44
9,3,47
9,2,44
9,1,29
9,2,44
10,1,43
11,1,35
10,2,35
11,2,43
12,3,37
12,1,49
13,3,40
12,1,49
13,1,49
13,2,31
13,2,31
13,1,49
13,2,31
14,2,44
14,2,44
14,1,29
14,2,44
15,1,48
15,1,48
15,3,46
15,1,48
15,1,48
15,1,48
16,1,43
16,2,38
17,2,35
17,1,39
17,1,39
18,2,36
17,3,46
18,2,36
18,1,43
19,2,44
19,2,44
18,3,41
19,2,44
19,2,44
19,1,38
19,1,38
20,2,43
19,3,38
19,1,38
19,3,38
20,1,36
20,1,36
20,3,41
20,3,41
20,1,36
20,1,36
21,1,38
21,1,38
21,3,45
22,2,36
22,2,36
22,1,41
22,1,41
22,2,36
21,3,45
21,3,45
22,1,41
22,1,41
23,2,42
23,2,42
23,2,42
23,2,42
23,3,39
23,3,39
23,3,39
23,3,39
23,3,39
24,1,38
25,1,53
24,3,38
25,1,53
26,2,30
26,2,30
25,3,41
28,2,46
28,2,46
27,1,45
27,1,45
27,3,38
27,3,38
27,3,38
27,3,38
28,1,33
28,1,33
28,1,33
30,2,34
28,3,41
28,3,41
29,1,47
30,2,34
30,1,36
30,1,36
31,2,30
29,3,35
31,2,30
30,1,36
32,2,45
31,1,41
30,3,50
32,2,45
30,3,50
30,3,50
30,3,50
31,1,41
33,2,35
33,2,35
33,2,35
31,3,49
34,2,44
34,2,44
32,3,43
33,1,48
33,1,48
35,2,35
34,1,40
36,2,46
36,2,46
35,1,36
35,1,36
37,2,38
36,1,42
37,2,38
36,1,42
36,1,42
38,2,37
36,1,42
35,3,49
35,3,49
37,1,38
38,2,37
36,3,32
37,1,38
39,2,41
39,2,41
39,2,41
37,3,44
40,2,38
41,2,32
38,3,39
39,1,45
40,1,39
39,3,34
39,3,34
39,3,34
42,2,37
40,1,39
40,3,43
40,1,39
40,3,43
40,3,43
43,2,40
43,2,40
41,1,41
41,1,41
41,1,41
40,3,43
44,2,38
41,3,47
41,3,47
41,3,47
44,2,38
43,1,34
43,1,34
42,3,46
45,2,37
45,2,37
43,1,34
43,1,34
45,2,37
42,3,46
42,3,46
46,2,41
43,3,46
46,2,41
46,2,41
46,2,41
44,1,32
43,3,46
43,3,46
46,2,41
45,1,44
47,2,33
47,2,33
43,3,46
44,3,50
48,2,34
44,3,50
48,2,34
48,2,34
46,1,38
44,3,50
44,3,50
49,2,43
47,1,51
49,2,43
45,3,39
47,1,51
47,1,51
46,3,41
46,3,41
50,2,48
47,1,51
47,1,51
48,1,43
50,2,48
50,2,48
50,2,48
51,2,51
48,1,43
48,3,43
49,1,42
48,3,43
51,2,51
52,2,44
50,1,32
52,2,44
52,2,44
52,2,44
50,1,32
50,3,40
52,1,41
52,1,41
51,3,37
54,2,40
51,3,37
52,1,41
53,1,45
53,1,45
53,1,45
53,1,45
53,1,45
55,2,42
55,2,42
54,1,44
52,3,35
52,3,35
52,3,35
56,2,36
54,1,44
53,3,35
53,3,35
53,3,35
53,3,35
57,2,51
54,3,36
55,3,42
56,1,45
58,2,36
58,2,36
58,2,36
55,3,42
58,2,36
58,2,36
58,2,36
56,3,39
59,2,36
59,2,36
57,1,33
57,1,33
57,3,36
60,2,40
58,1,37
60,2,40
58,3,47
59,1,43
59,1,43
61,2,44
58,3,47
61,2,44
58,3,47
61,2,44
60,1,43
62,2,37
60,1,43
61,1,39
63,2,36
61,1,39
60,3,37
60,3,37
63,2,36
61,1,39
62,1,31
64,2,36
62,1,31
64,2,36
63,1,40
63,1,40
62,3,52
65,2,36
64,1,37
62,3,52
66,2,40
63,3,44
63,3,44
63,3,44
63,3,44
67,2,32
63,3,44
