Failure start time,Failure End Time,Robot,Shift
300,503.7987305,Glue,1
504.0231764,670.1486854,Package,2
1350.748474,1503.811893,Assembly,3
1719.523018,1914.498133,Assembly,4
3753.542206,3908.15989,Glue,8
7323.577984,7475.398228,Assembly,16
7972.43422,8132.672434,Assembly,17
9908.929895,10092.22457,Assembly,21
10409.86953,10577.06511,Glue,22
10891.63428,11056.01377,Assembly,23
11812.8762,11986.37594,Glue,25
12552.99368,12710.90285,Glue,27
13778.57598,13956.17593,Package,29
15239.37463,15386.80303,Assembly,32
15471.34993,15635.76271,Assembly,33
17900.99069,18213.9714,Glue,38
19009.10481,19223.47383,Package,40
20237.82427,20435.63072,Assembly,43
20709.43886,20888.33672,Package,44
22900.496,23076.45274,Assembly,48
23111.27087,23249.10867,Glue,49
24215.91156,24329.62515,Assembly,51
24532.75416,24724.98122,Assembly,52
25218.49157,25382.66063,Assembly,53
26255.97422,26434.96793,Glue,55
27663.40278,27825.97439,Glue,58
30137.27788,30349.79914,Package,63
35618.43621,35763.73939,Glue,75
36700.72287,36879.46025,Assembly,77
37151.27871,37317.10293,Glue,78
37738.29454,37935.67601,Glue,79
38089.95864,38329.87041,Glue,80
40737.36232,40893.6707,Assembly,85
42430.06723,42646.86957,Package,89
43279.09338,43486.10834,Assembly,91
43832.64317,43993.07461,Assembly,92
45197.99452,45369.77605,Assembly,95
46068.33657,46204.68661,Assembly,96
46997.53151,47134.37054,Package,98
47435.77425,47575.80951,Assembly,99
48283.11865,48416.23609,Glue,101
48910.33788,49086.94317,Package,102
49143.94447,49319.95596,Assembly,103
50568.01046,50756.05554,Glue,106
53334.24653,53576.32851,Package,112
53925.85794,54110.26717,Assembly,113
54416.94877,54593.02445,Package,114
55478.75369,55646.49718,Glue,116
58547.70166,58749.05902,Glue,122
59331.33801,59491.19208,Assembly,124
59586.68523,59781.47029,Package,125
60407.0551,60505.77338,Assembly,126
63798.41151,64005.12965,Glue,133
64563.44263,64754.69146,Glue,135
65565.07105,65711.30115,Glue,137
67439.78694,67700.37868,Assembly,141
68397.15063,68789.5469,Glue,143
68794.36917,68934.84353,Assembly,144
69370.76227,69501.52037,Assembly,145
70093.62249,70230.13593,Glue,147
71746.97282,71916.09824,Package,150
74038.6701,74237.48365,Assembly,155
74608.45589,74800.3243,Assembly,156
75807.66121,76007.33002,Assembly,158
77101.48859,77233.61371,Glue,161
81105.90913,81305.19296,Assembly,169
83113.47792,83305.33676,Package,174
84902.56845,85092.63689,Assembly,177
85602.18681,85808.015,Assembly,179
91110.228,91316.38054,Assembly,190
91320.93796,91554.90116,Glue,191
95192.96961,95313.51779,Glue,199
96496.15528,96725.71631,Package,202
97163.05292,97339.43735,Glue,203
98577.20281,98754.4215,Assembly,206
100448.7757,100778.2825,Package,210
101486.3877,101641.1463,Assembly,212
106613.5236,106782.8251,Glue,223
107987.1145,108180.2313,Package,225
108920.1634,109096.2977,Glue,227
110171.7911,110307.3664,Assembly,230
110697.0317,110857.7524,Assembly,231
112075.8096,112270.1117,Glue,234
112867.1178,113075.5061,Assembly,236
114139.0078,114271.1428,Assembly,238
115058.7473,115227.4368,Package,240
117039.3445,117205.271,Package,244
117852.3974,118010.284,Package,246
118843.1874,119036.9867,Assembly,248
119504.4376,119632.6602,Assembly,249
119840.2937,120052.7581,Glue,250
121597.7976,121788.1135,Package,254
123378.9024,123528.8464,Glue,258
124134.8323,124318.1653,Package,259
124601.6353,124798.2441,Assembly,260
125990.5546,126331.6395,Glue,263
126335.8976,126747.6602,Package,264
126790.7098,126975.7023,Assembly,265
127909.4233,128085.5629,Assembly,267
129269.5867,129456.5993,Assembly,270
130543.616,130749.6792,Glue,272
130750.4484,130931.361,Package,273
133813.8698,133991.1931,Package,279
134212.5273,134374.546,Glue,280
135781.5699,135955.9183,Package,283
137043.7828,137213.0605,Glue,286
138353.1177,138530.5499,Glue,289
144440.4229,144619.3252,Assembly,301
