Product ID,Time To Sell,Customer,Returned (YES/NO)
1,645.2647604,14,NO
2,4.36024571,29,NO
3,3.008477532,4,NO
4,1.735399322,14,NO
5,4.760033335,37,NO
6,2.870140825,34,NO
7,2.434955149,37,NO
8,2.876854049,10,NO
9,2.65289425,10,NO
10,2.466580575,49,NO
11,4.590727271,26,NO
12,3.199732889,45,NO
13,4.652030263,31,NO
14,4.788965422,45,NO
15,18.39317564,1,NO
16,63.13589246,18,NO
17,3.002692979,16,NO
18,1.772841643,27,NO
19,176.6013754,28,NO
20,141.5457908,4,NO
21,552.0828685,44,NO
22,2.044600387,18,NO
23,2.531766729,24,NO
24,2.983657989,8,NO
25,4.357395626,15,NO
26,555.4419349,17,NO
27,1.864686814,48,NO
28,204.49021,15,NO
29,1.938700816,7,NO
30,1.356848122,1,NO
31,2.212096953,47,NO
32,32.4827164,29,NO
33,1.976964272,25,NO
34,585.7356952,32,NO
35,310.9930265,12,NO
36,1.9133697,39,NO
37,0.829653962,22,NO
38,2.786930981,50,NO
39,0.953803658,16,NO
40,2.936997862,42,NO
41,52.87348848,40,NO
42,243.8745996,35,NO
43,482.7247483,39,NO
44,280.3235554,46,NO
45,401.8983732,9,NO
46,355.1367947,21,NO
47,135.3560509,20,NO
48,378.6575837,50,NO
49,354.7794915,12,NO
50,235.5524105,18,NO
51,201.2404675,19,NO
52,583.8840725,40,NO
53,54.20700195,27,NO
54,143.4190764,46,NO
55,399.371747,8,NO
56,475.2097077,15,NO
57,217.4719779,48,NO
58,216.1747547,32,NO
59,199.4252708,9,NO
60,533.8737554,8,NO
61,3791.241585,48,NO
62,2909.976086,39,NO
63,2.887009002,41,NO
64,4.460190724,5,NO
65,4.371731552,48,NO
66,4.211467394,12,NO
67,1190.719553,45,NO
68,4.331368613,9,NO
69,4.285777344,27,NO
70,1.665134867,47,NO
71,1.13820608,47,NO
72,540.5998247,44,NO
73,96.19052187,38,NO
74,3.601183179,1,NO
75,230.6852569,23,NO
76,472.0846294,33,NO
77,575.1513782,41,NO
78,727.0248208,25,NO
79,3.127733428,36,NO
80,2.795184654,47,NO
81,2.318019783,21,NO
82,4.794386538,49,NO
83,1.643270902,13,NO
84,1.835808876,4,NO
85,95.55947877,21,NO
86,3.429317388,13,NO
87,2.327058546,33,NO
88,1.838624398,11,NO
89,1.692422171,10,NO
90,356.4537937,36,NO
91,3733.978201,14,YES
92,2.790766006,50,NO
93,42.27431948,13,YES
94,1.729116953,41,NO
95,1.533609821,2,NO
96,240.7275783,18,YES
97,718.7516001,5,YES
98,1504.093305,7,NO
99,1.603426037,3,YES
100,2.178312013,10,NO
101,641.3806606,21,NO
102,539.833768,1,NO
103,901.7483666,26,NO
104,129.5711948,7,NO
105,6.97E-02,3.80E+01,NO
106,0.143529784,50,NO
107,286.7448801,20,NO
108,658.2458424,33,NO
109,1.848031867,4,NO
110,1.739687866,26,NO
111,246.6874578,26,NO
112,551.420158,27,NO
113,565.444238,38,NO
114,617.7875758,33,NO
115,1409.175114,7,NO
116,390.6154567,49,NO
117,1893.732769,10,NO
118,506.1201522,7,NO
119,1463.983631,47,NO
120,1010.948203,41,NO
121,191.6751432,12,NO
122,11.22733112,37,NO
123,2012.836418,37,NO
124,442.5073007,10,NO
125,395.0851561,26,NO
126,1567.395208,45,NO
127,943.9408093,50,NO
128,114.4164188,3,NO
129,221.3042149,16,NO
130,406.9338444,19,NO
131,489.7417509,32,NO
132,1107.611736,20,NO
133,531.2878361,30,NO
134,362.7314344,2,NO
135,195.2452158,11,NO
136,290.8659063,22,NO
137,25.5827411,15,NO
138,1352.25872,22,NO
139,279.1083341,7,NO
140,1046.546877,6,NO
141,596.2587168,34,NO
142,24.3720884,47,NO
143,850.0693876,32,NO
144,348.5335397,13,NO
145,273.7524245,43,NO
146,361.817162,38,NO
147,349.3668705,6,NO
148,190.4974124,49,NO
149,32.52924862,1,NO
150,599.9967707,46,NO
151,698.9186201,21,NO
152,64.15449836,3,NO
153,956.7266795,39,NO
154,662.016476,20,NO
155,299.383521,18,NO
